Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
115,1908,Ind,5,2,1,.688,,,,,-1.06,-3.31,,,,Fielding Yost (5-2-1),,
116,1907,Ind,5,1,0,.833,,,,,11.05,-1.96,,,,Fielding Yost (5-1),,
117,1906,Western,4,1,0,.800,1,0,0,1.000,9.22,1.22,,,,Fielding Yost (4-1),,
118,1905,Western,12,1,0,.923,2,1,0,.667,18.66,-1.49,,,,Fielding Yost (12-1),,
119,1904,Western,10,0,0,1.000,2,0,0,1.000,23.18,0.58,,,,Fielding Yost (10-0),,
120,1903,Western,11,0,1,.958,3,0,1,.875,17.60,-3.74,,,,Fielding Yost (11-0-1),,
121,1902,Western,11,0,0,1.000,5,0,0,1.000,21.06,-0.40,,,,Fielding Yost (11-0),,
122,1901,Western,11,0,0,1.000,4,0,0,1.000,20.82,-2.55,,,,Fielding Yost (11-0),Rose Bowl-W,
123,1900,Western,7,2,1,.750,3,2,0,.600,4.79,-1.11,,,,Biff Lea (7-2-1),,
124,1899,Western,8,2,0,.800,1,1,0,.500,8.23,-3.07,,,,Gustave Ferbert (8-2),,
125,1898,Western,10,0,0,1.000,3,0,0,1.000,11.96,-5.14,,,,Gustave Ferbert (10-0),,
126,1897,Western,6,1,1,.813,2,1,0,.667,7.81,-6.07,,,,Gustave Ferbert (6-1-1),,
127,1896,Western,9,1,0,.900,2,1,0,.667,11.42,-4.98,,,,William Ward (9-1),,
128,1895,Ind,8,1,0,.889,,,,,15.12,-1.77,,,,William McCauley (8-1),,
129,1894,Ind,9,1,1,.864,,,,,5.57,-4.34,,,,William McCauley (9-1-1),,
130,1893,Ind,7,3,0,.700,,,,,11.21,0.61,,,,Frank Barbour (7-3),,
131,1892,Ind,7,5,0,.583,,,,,2.88,0.46,,,,Frank Barbour (7-5),,
132,1883,Ind,1,4,0,.200,,,,,-3.45,0.95,,,,,,
133,1881,Ind,0,3,0,.000,,,,,-2.78,4.22,,,,,,
